m,Unconditional,Conditional
1,2267.06,2267.06
2,1275.18,1275.18
3,743.12,743.12
4,357.57,357.57
5,172.78,172.82
6,82.83,83.44
7,38.59,41.65
8,16.28,23.52
9,3.39,15.72
10,0.0,11.98
11,,9.91
12,,8.62
13,,7.72
14,,7.06
15,,6.53
16,,6.1
17,,5.74
18,,5.42
19,,5.13
20,,4.88
21,,4.65
22,,4.45
23,,4.26
24,,4.08
25,,3.92
26,,3.77
27,,3.64
28,,3.51
29,,3.39
30,,3.28
31,,3.17
32,,3.08
33,,2.99
34,,2.9
35,,2.82
36,,2.74
37,,2.67
38,,2.6
39,,2.53
40,,2.47
41,,2.41
42,,2.35
43,,2.3
44,,2.25
45,,2.2
46,,2.15
47,,2.11
48,,2.06
49,,2.02
50,,1.98
